book_id,title,authors,isbn,language_code,average_rating,ratings_count,original_publication_year,books_count,work_text_reviews_count
132,The Five People You Meet in Heaven,Mitch Albom,1401308589,eng,3.9,449501,2003.0,123,16682
133,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,451528824,eng,4.23,502247,1908.0,1314,14041
134,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,1416914307,en-US,4.34,593173,2009.0,122,22736
135,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,055357342X,eng,4.54,469022,2000.0,175,19497
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,006075995X,en-US,3.79,465676,1996.0,75,3867
137,"Outlander (Outlander, #1)",Diana Gabaldon,440242940,eng,4.2,515547,1991.0,189,36707
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",142437263,eng,3.37,509883,1850.0,1579,11428
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,1594744769,en-US,3.89,613674,2011.0,155,53569
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",030726999X,en-US,4.2,443951,2007.0,193,26766
141,The Martian,Andy Weir,804139024,eng,4.39,423344,2012.0,148,61298
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,451207149,eng,4.29,462517,1989.0,255,26283
143,All the Light We Cannot See,Anthony Doerr,1476746583,eng,4.31,470001,2014.0,139,53413
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,1400064163,eng,4.4,487775,2010.0,16,41572
145,Deception Point,Dan Brown,671027387,eng,3.67,455610,2001.0,180,7798
146,The Goldfinch,Donna Tartt,316055433,eng,3.87,396756,2013.0,108,44631
147,Thirteen Reasons Why,Jay Asher,1595141715,eng,4.02,463783,2007.0,150,43467
148,Girl with a Pearl Earring,Tracy Chevalier,452287022,eng,3.85,467577,1999.0,169,8011
149,"If I Stay (If I Stay, #1)",Gayle Forman,525421033,en-US,3.96,503527,2009.0,130,34959
150,The Red Tent,Anita Diamant,312353766,en-US,4.16,424981,1997.0,80,17234
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,786856866,eng,4.23,514932,2006.0,121,20097
152,Dear John,Nicholas Sparks,446528056,en-US,4.01,441062,2006.0,111,10626
153,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,1416914293,eng,4.21,541117,2008.0,125,23643
154,Macbeth,William Shakespeare,743477103,eng,3.88,496018,1606.0,1732,7609
155,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,618346260,en-US,4.42,480446,1954.0,453,6980
156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,031232118X,eng,3.83,403601,2004.0,65,11567
157,Green Eggs and Ham,"Dr. Seuss, לאה נאור",394800168,en-US,4.29,457475,1960.0,72,7370
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",142403881,eng,4.1,453959,1964.0,338,8473
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,1423101464,eng,4.39,508214,2008.0,92,14098
160,Great Expectations,Charles Dickens,192833596,eng,3.75,459247,1860.0,1725,12311
161,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,345339738,en-US,4.51,463959,1955.0,470,6644
162,The Stranger,"Albert Camus, Matthew    Ward",<function <lambda> at 0x7eb612ae0170>,eng,3.96,420600,1942.0,675,14836
163,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,142311339X,eng,4.35,271576,2010.0,72,17107
164,Eleanor & Park,Rainbow Rowell,1250012570,eng,4.11,514312,2013.0,103,53005
165,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,055358202X,en-US,4.1,428186,2005.0,176,18876
166,"Matched (Matched, #1)",Ally Condie,525423648,eng,3.68,511815,2010.0,84,30226
167,"American Gods (American Gods, #1)",Neil Gaiman,747263744,eng,4.11,378019,2001.0,196,27587
168,The Stand,"Stephen King, Bernie Wrightson",385199570,en-US,4.34,438832,1978.0,195,13808
169,The Last Song,Nicholas Sparks,446547565,en-GB,4.14,424637,2008.0,95,11051
170,Digital Fortress,Dan Brown,552151696,en-GB,3.6,423019,1998.0,185,7538
171,Emma,"Jane Austen, Fiona Stafford",141439580,eng,3.99,459826,1815.0,1710,11724
172,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",345803922,eng,4.02,297472,1877.0,1492,18064
173,A Clockwork Orange,Anthony Burgess,393312836,eng,3.98,431195,1962.0,283,9958
174,The Shack,William Paul Young,964729237,eng,3.74,419539,2007.0,134,29377
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,739380338,eng,4.5,397500,2009.0,87,17693
176,It,Stephen King,451169514,en-US,4.18,292592,1986.0,7,11698
177,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",143058142,eng,4.18,380903,1866.0,1714,12605
178,The Bell Jar,Sylvia Plath,61148512,en-US,3.98,401605,1963.0,246,15963
179,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,7205236,eng,4.07,392103,1996.0,184,9798
180,Siddhartha,"Hermann Hesse, Hilda Rosner",553208845,eng,3.99,372099,1922.0,972,11518
181,In Cold Blood,Truman Capote,679745580,eng,4.05,381652,1965.0,223,11754
182,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",316042676,eng,3.76,436093,2009.0,119,20808
183,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,1416975861,eng,4.33,490890,2010.0,103,24385
184,Matilda,"Roald Dahl, Quentin Blake",141301066,eng,4.29,440743,1988.0,242,11053
185,The Night Circus,Erin Morgenstern,385534639,eng,4.03,429543,2011.0,119,54008
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,743227441,eng,4.04,381080,2001.0,111,15846
187,"Uglies (Uglies, #1)",Scott Westerfeld,689865384,eng,3.86,449073,2005.0,98,21234
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,<function <lambda> at 0x7eb612ae0170>,eng,4.31,365954,2011.0,115,20072
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,618640150,eng,4.47,389054,1955.0,380,9365
190,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,307592731,eng,3.96,379872,2012.0,101,34444
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",930289234,en-US,4.35,398018,1987.0,90,10851
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,075640407X,eng,4.55,400101,2007.0,123,28631
193,Outliers: The Story of Success,Malcolm Gladwell,316017922,en-US,4.11,353011,2008.0,120,19383
194,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",142437247,eng,3.46,358050,1851.0,1823,11223
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",385340990,eng,4.12,393626,2008.0,116,39853
196,Fight Club,Chuck Palahniuk,393327345,eng,4.2,365349,1996.0,162,11176
197,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,441008534,en-US,3.96,420764,2001.0,109,16818
198,The Color Purple,Alice Walker,671727796,eng,4.17,376766,1982.0,155,9485
199,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,739461192,eng,4.12,367304,2005.0,119,13407
200,And Then There Were None,Agatha Christie,312330871,eng,4.23,408983,1939.0,474,17264
201,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,385504225,eng,3.66,369428,2009.0,208,24199
202,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,1416989412,en-US,4.0,448166,2009.0,91,21871
203,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,<function <lambda> at 0x7eb612ae0170>,eng,4.15,418309,2011.0,85,25298
204,A Christmas Carol,Charles Dickens,1561797464,eng,4.02,394540,1843.0,2380,11568
205,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,345476875,eng,3.97,372566,1976.0,189,7951
206,"The Selection (The Selection, #1)",Kiera Cass,62059939,en-US,4.15,505340,2012.0,93,35681
207,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,312362080,en-US,4.03,391007,1994.0,109,13050
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,1400052173,eng,4.04,377249,2010.0,66,28624
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,99446782,eng,4.14,351107,1988.0,187,3866
210,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,159514174X,en-US,4.14,248283,2007.0,132,19720
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,316010669,en-US,3.89,348196,2005.0,116,12215
212,Atonement,Ian McEwan,038572179X,eng,3.88,347006,2001.0,155,14815
213,The Metamorphosis,"Franz Kafka, Stanley Corngold",553213695,eng,3.78,364933,1915.0,1316,10252
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,141382899,eng,4.33,446668,2007.0,94,15418
215,Ready Player One,Ernest Cline,030788743X,eng,4.31,349423,2011.0,112,52120
216,The Art of Racing in the Rain,Garth Stein,1554681723,eng,4.19,327409,2006.0,90,32021
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",739303406,eng,3.98,309385,2003.0,70,25846
218,"Bared to You (Crossfire, #1)",Sylvia Day,425263908,eng,4.19,222678,2012.0,96,16748
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",66238501,eng,4.24,376385,1956.0,270,8871
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,316043133,en-US,4.23,291411,1678.0,20,532
221,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,1558743669,eng,4.08,311543,1995.0,74,13729
222,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,752864327,eng,3.98,327122,1980.0,143,3899
223,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,786817879,eng,3.82,386923,2001.0,163,8384
224,"Fallen (Fallen, #1)",Lauren Kate,385738935,en-US,3.74,395296,2009.0,97,17725
225,East of Eden,John Steinbeck,142000655,eng,4.35,320919,1952.0,81,14454
226,Dark Places,Gillian Flynn,307341569,eng,3.92,333452,2009.0,131,28784
227,The Client,John Grisham,385339089,eng,3.97,320083,1993.0,134,1917
228,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",312291639,eng,3.4,323762,2002.0,84,5121
229,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",451527747,eng,4.06,340920,1865.0,845,7736
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",192802631,eng,4.13,365425,1817.0,1451,13117
231,Sarah's Key,Tatiana de Rosnay,312370830,eng,4.14,312444,2007.0,117,26614
232,"The Gunslinger (The Dark Tower, #1)",Stephen King,452284694,en-US,3.99,332494,1982.0,213,13014
233,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman",140003468X,eng,3.89,283806,1985.0,347,15246
234,Speak,Laurie Halse Anderson,014131088X,eng,4.0,360156,1999.0,87,18379
235,The Husband's Secret,Liane Moriarty,399159347,eng,3.92,232106,2013.0,95,27610
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,385494785,en-US,4.11,291258,1997.0,101,10439
237,Carrie,Stephen King,1416524304,eng,3.93,356814,1974.0,249,8264
238,Running with Scissors,Augusten Burroughs,031242227X,en-US,3.7,293878,2002.0,79,11601
239,World War Z: An Oral History of the Zombie War,Max Brooks,307346609,en-US,4.01,312969,2006.0,137,22412
240,"Inferno (Robert Langdon, #4)",Dan Brown,385537859,eng,3.8,287533,2013.0,235,33700
241,Number the Stars,Lois Lowry,440227534,eng,4.11,333638,1989.0,81,10304
242,"Along Came a Spider (Alex Cross, #1)",James Patterson,446692638,eng,4.08,311499,1993.0,122,3600
243,Misery,Stephen King,450417395,en-GB,4.11,334647,1987.0,197,6416
244,Sharp Objects,Gillian Flynn,307341542,en-US,3.92,207889,2006.0,136,28268
245,Bridge to Terabithia,Katherine Paterson,439366771,eng,3.98,337644,1977.0,125,9270
246,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",312360266,en-US,3.79,360044,2007.0,97,12870
247,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,743269519,en-US,4.05,314700,1989.0,250,6148
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",743477545,eng,3.94,334241,1595.0,1379,5724
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,618711651,en-US,3.97,294726,2005.0,104,21107
250,Wonder,R.J. Palacio,375869026,eng,4.43,228538,2012.0,124,43021
251,The Cat in the Hat,Dr. Seuss,039480001X,eng,4.15,314016,1957.0,99,4299
252,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,312641893,eng,4.15,427663,2012.0,92,41109
253,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",316206849,en-US,3.83,297712,2013.0,48,27258
254,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,545123267,eng,3.78,356625,2009.0,96,20521
